"","state","gp","gp_vs_rank","mi","mi_rank","util_diff","rank_diff"
"1","1111111",1,1,1,1,0,0
"2","2111111",0.936776827491811,7,0.943625515359177,7,-0.00684868786736559,0
"3","3111111",0.893662618678308,29,0.914831682159397,16,-0.0211690634810896,13
"4","4111111",0.852188287977768,92,0.872421307037587,72,-0.0202330190598192,20
"5","1211111",0.946042222407004,5,0.944695721054294,6,0.00134650135271008,-1
"6","2211111",0.882819049898815,39,0.88832123641347,45,-0.0055021865146555,-6
"7","3211111",0.839704841085312,124,0.859527403213691,97,-0.0198225621283795,27
"8","4211111",0.798230510384772,324,0.817117028091881,289,-0.0188865177071091,35
"9","1311111",0.918062752130228,14,0.917645153720996,14,0.000417598409231834,0
"10","2311111",0.854839579622039,86,0.861270669080173,90,-0.00643108945813375,-4
"11","3311111",0.811725370808535,240,0.832476835880393,202,-0.0207514650718578,38
"12","4311111",0.770251040107995,555,0.790066460758583,516,-0.0198154206505874,39
"13","1411111",0.879126254145232,45,0.87701564975289,60,0.00211060439234168,-15
"14","2411111",0.815903081637043,217,0.820641165112067,266,-0.00473808347502402,-49
"15","3411111",0.772788872823539,523,0.791847331912287,495,-0.019058459088748,28
"16","4411111",0.731314542122999,1074,0.749436956790477,1114,-0.0181224146674777,-40
"17","1121111",0.93202072913358,8,0.939430688342593,8,-0.00740995920901322,0
"18","2121111",0.868797556625391,62,0.88305620370177,52,-0.0142586470763788,10
"19","3121111",0.825683347811888,176,0.85426237050199,108,-0.0285790226901028,68
"20","4121111",0.784209017111348,416,0.81185199538018,323,-0.0276429782688324,93
"21","1221111",0.878062951540584,46,0.884126409396887,51,-0.00606345785630313,-5
"22","2221111",0.814839779032395,222,0.827751924756064,229,-0.0129121457236687,-7
"23","3221111",0.771725570218892,532,0.798958091556284,429,-0.0272325213373927,103
"24","4221111",0.730251239518352,1091,0.756547716434474,986,-0.0262964769161224,105
"25","1321111",0.850083481263808,93,0.857075842063589,100,-0.00699236079978138,-7
"26","2321111",0.786860308755619,396,0.800701357422766,414,-0.013841048667147,-18
"27","3321111",0.743746099942115,871,0.771907524222986,739,-0.028161424280871,132
"28","4321111",0.702271769241575,1653,0.729497149101176,1543,-0.0272253798596006,110
"29","1421111",0.811146983278812,242,0.816446338095483,292,-0.00529935481667154,-50
"30","2421111",0.747923810770623,817,0.76007185345466,933,-0.0121480426840372,-116
"31","3421111",0.704809601957119,1594,0.731278020254881,1507,-0.0264684182977613,87
"32","4421111",0.663335271256579,2724,0.68886764513307,2777,-0.0255323738764909,-53
"33","1131111",0.88868820696848,33,0.900965595894564,28,-0.012277388926084,5
"34","2131111",0.825465034460292,177,0.844591111253741,148,-0.0191260767934496,29
"35","3131111",0.782350825646788,430,0.815797278053962,298,-0.0334464524071736,132
"36","4131111",0.740876494946248,911,0.773386902932151,721,-0.0325104079859032,190
"37","1231111",0.834730429375484,143,0.845661316948858,143,-0.0109308875733739,0
"38","2231111",0.771507256867295,533,0.789286832308035,527,-0.0177795754407395,6
"39","3231111",0.728393048053792,1115,0.760492999108255,929,-0.0320999510544635,186
"40","4231111",0.686918717353252,2027,0.718082623986445,1856,-0.0311639066331931,171
"41","1331111",0.806750959098708,266,0.81861074961556,280,-0.0118597905168522,-14
"42","2331111",0.743527786590519,874,0.762236264974737,905,-0.0187084783842177,-31
"43","3331111",0.700413577777016,1685,0.733442431774957,1453,-0.0330288539979418,232
"44","4331111",0.658939247076476,2851,0.691032056653147,2705,-0.0320928095766714,146
"45","1431111",0.767814461113712,573,0.777981245647454,666,-0.0101667845337423,-93
"46","2431111",0.704591288605523,1599,0.721606761006631,1766,-0.017015472401108,-167
"47","3431111",0.66147707979202,2775,0.692812927806852,2648,-0.031335848014832,127
"48","4431111",0.62000274909148,4334,0.650402552685041,4400,-0.0303998035935616,-66
